Data;Ora;PUN
20170216;12;55,91
20170216;13;53,2
20170216;14;52,22
20170216;15;52,87
20170216;16;53,19
20170216;17;55,36
20170216;18;59,65
20170216;19;67,15
20170216;20;70,94
20170216;21;65,64
20170216;22;58,62
20170216;23;54,4
20170216;24;54,2
20170217;1;48,23
20170217;2;48,08
20170217;3;45,0
20170217;4;39,71
20170217;5;39,32
20170217;6;45,14
20170217;7;52,58
20170217;8;58,74
20170217;9;62,35
20170217;10;61,18
20170217;11;57,02
20170217;12;56,18
20170217;13;53,77
20170217;14;52,78
20170217;15;50,57
20170217;16;52,84
20170217;17;54,19
20170217;18;56,29
20170217;19;63,72
20170217;20;64,71
20170217;21;62,14
20170217;22;55,49
20170217;23;51,03
20170217;24;49,56
20170218;1;47,42
20170218;2;47,21
20170218;3;43,56
20170218;4;40,77
20170218;5;40,0
20170218;6;41,01
20170218;7;44,49
20170218;8;47,36
20170218;9;48,71
20170218;10;50,0
20170218;11;49,85
20170218;12;48,1
20170218;13;46,65
20170218;14;44,49
20170218;15;42,49
20170218;16;42,93
20170218;17;48,53
20170218;18;51,92
20170218;19;61,64
20170218;20;62,8
20170218;21;58,32
20170218;22;53,81
20170218;23;51,32
20170218;24;49,88
20170219;1;49,2
20170219;2;48,18
20170219;3;43,69
20170219;4;40,2
20170219;5;38,6
20170219;6;40,0
20170219;7;44,0
20170219;8;44,27
20170219;9;46,2
20170219;10;48,18
20170219;11;48,51
20170219;12;46,94
20170219;13;46,07
20170219;14;42,99
20170219;15;42,99
20170219;16;48,18
20170219;17;50,57
20170219;18;56,88
20170219;19;64,03
20170219;20;68,66
20170219;21;64,5
20170219;22;56,45
20170219;23;57,33
20170219;24;52,15
20170220;1;46,27
20170220;2;43,19
20170220;3;41,86
20170220;4;41,21
20170220;5;44,78
20170220;6;48,56
20170220;7;60,59
20170220;8;68,7
20170220;9;77,25
20170220;10;69,5
20170220;11;61,69
20170220;12;59,69
20170220;13;56,41
20170220;14;54,98
20170220;15;57,9
20170220;16;61,69
20170220;17;67,43
20170220;18;81,0
20170220;19;96,01
20170220;20;91,54
20170220;21;80,74
20170220;22;91,54
20170220;23;66,9
20170220;24;52,51
20170221;1;49,17
20170221;2;48,96
20170221;3;46,65
20170221;4;45,66
20170221;5;43,4
20170221;6;49,16
20170221;7;51,0
20170221;8;58,04
20170221;9;62,04
20170221;10;56,58
20170221;11;55,35
20170221;12;55,3
20170221;13;52,36
20170221;14;51,73
20170221;15;51,41
20170221;16;52,2
20170221;17;55,4
20170221;18;57,07
20170221;19;61,16
20170221;20;62,36
20170221;21;57,19
20170221;22;53,69
20170221;23;50,09
20170221;24;48,68
20170222;1;44,05
20170222;2;41,19
20170222;3;38,88
20170222;4;38,32
20170222;5;38,02
20170222;6;39,99
20170222;7;49,37
20170222;8;54,48
20170222;9;55,78
20170222;10;54,12
20170222;11;50,76
20170222;12;50,22
20170222;13;47,62
20170222;14;46,78
20170222;15;47,29
20170222;16;48,77
20170222;17;53,92
20170222;18;54,92
20170222;19;60,01
20170222;20;61,0
20170222;21;57,54
20170222;22;53,57
20170222;23;49,99
20170222;24;48,9
20170223;1;45,5
20170223;2;42,0
20170223;3;40,34
20170223;4;39,32
20170223;5;40,21
20170223;6;45,63
20170223;7;49,8
20170223;8;56,65
20170223;9;58,2
20170223;10;55,6
20170223;11;54,07
20170223;12;53,67
20170223;13;49,41
20170223;14;48,71
20170223;15;50,35
20170223;16;53,12
20170223;17;53,84
20170223;18;56,16
20170223;19;60,07
20170223;20;60,76
20170223;21;57,2
20170223;22;53,76
20170223;23;48,67
20170223;24;45,86
20170224;1;41,37
20170224;2;38,9
20170224;3;38,02
20170224;4;37,42
20170224;5;37,29
20170224;6;39,59
20170224;7;48,42
20170224;8;54,38
20170224;9;57,03
20170224;10;57,66
20170224;11;57,23
20170224;12;55,3
20170224;13;54,23
20170224;14;52,57
20170224;15;51,59
20170224;16;51,28
20170224;17;53,02
20170224;18;53,28
20170224;19;57,75
20170224;20;58,22
20170224;21;53,9
20170224;22;49,52
20170224;23;48,12
20170224;24;46,75
20170225;1;51,36
20170225;2;48,62
20170225;3;44,5
20170225;4;43,4
20170225;5;41,5
20170225;6;42,82
20170225;7;47,77
20170225;8;50,69
20170225;9;53,02
20170225;10;52,09
20170225;11;49,85
20170225;12;48,61
20170225;13;45,08
20170225;14;42,59
20170225;15;41,94
20170225;16;43,07
20170225;17;48,22
20170225;18;53,31
20170225;19;57,51
20170225;20;59,88
20170225;21;55,8
20170225;22;53,12
20170225;23;49,66
20170225;24;48,49
20170226;1;47,46
20170226;2;42,53
20170226;3;41,85
20170226;4;39,37
20170226;5;38,72
20170226;6;39,99
20170226;7;40,75
20170226;8;41,51
20170226;9;42,96
20170226;10;47,52
20170226;11;49,64
20170226;12;49,62
20170226;13;49,19
20170226;14;46,4
20170226;15;47,44
20170226;16;47,93
20170226;17;50,41
20170226;18;52,64
20170226;19;56,1
20170226;20;56,86
20170226;21;55,9
20170226;22;53,48
20170226;23;52,28
20170226;24;46,98
20170227;1;43,51
20170227;2;40,18
20170227;3;39,2
20170227;4;36,79
20170227;5;36,17
20170227;6;42,5
20170227;7;50,5
20170227;8;55,15
20170227;9;59,67
20170227;10;57,15
20170227;11;54,07
20170227;12;53,03
20170227;13;51,25
20170227;14;52,07
20170227;15;53,75
20170227;16;54,81
20170227;17;57,01
20170227;18;57,81
20170227;19;61,43
20170227;20;60,62
20170227;21;57,35
20170227;22;55,5
20170227;23;51,47
20170227;24;48,7
20170228;1;44,69
